,x,y,label
0,-5.244274,3.2983646,m6A
1,1.2215283,10.560692,m6A
2,1.135236,9.577083,m6A
3,-2.3643322,5.057622,m6A
4,9.840245,0.2905651,m6A
5,-1.4713944,4.621239,m6A
6,-5.527018,5.4257455,m6A
7,-5.4654884,5.338273,m6A
8,1.0729389,10.010157,m6A
9,0.9971441,10.054415,m6A
10,-0.06732819,6.217379,m6A
11,7.987968,-1.8617395,m6A
12,8.272491,-1.5545812,m6A
13,9.895684,0.42877716,m6A
14,2.2468748,9.643799,m6A
15,0.93236727,9.840911,m6A
16,-1.0048573,5.097551,m6A
17,-4.7014594,4.293236,m6A
18,9.861637,3.440459,m6A
19,-4.8898025,3.1842625,m6A
20,1.1111172,10.390123,m6A
21,-1.2854755,4.1653743,m6A
22,6.6055555,1.3355031,m6A
23,8.077486,-2.717806,m6A
24,4.82349,8.07135,m6A
25,4.862685,8.186077,m6A
26,6.5530477,0.5020056,m6A
27,6.4872193,0.4002652,m6A
28,1.9003712,10.559552,m6A
29,5.808507,-0.39310673,m6A
30,6.728451,1.0518454,m6A
31,2.21169,10.314146,m6A
32,-3.8409507,6.843948,m6A
33,-5.198447,3.3012629,m6A
34,0.96768785,9.712267,m6A
35,-1.2812779,4.4121647,m6A
36,-1.2447199,4.9828124,m6A
37,5.604305,3.8594668,m6A
38,5.170233,3.685906,m6A
39,4.4569035,5.2839723,m6A
40,5.4729414,4.6121902,m6A
41,0.72957337,3.4343126,m6A
42,-2.892198,3.0020962,m6A
43,-3.1726182,2.3543136,m6A
44,8.326403,-2.976374,m6A
45,-3.045351,2.6195395,m6A
46,-0.39035985,3.7321703,m6A
47,9.759629,0.6786374,m6A
48,-3.9241283,2.9974878,m6A
49,-0.31113216,5.4227734,m6A
50,-0.96862435,4.5709987,m6A
51,-3.0642982,3.0299737,m6A
52,4.9853177,3.7955835,m6A
53,-2.3579278,5.040445,m6A
54,-0.35677063,3.7281597,m6A
55,5.141328,6.797066,m6A
56,0.5499344,3.4714212,m6A
57,-2.8327825,2.4647539,m6A
58,9.479724,-1.0073406,m6A
59,4.16387,5.486639,m6A
60,4.555402,4.060026,m6A
61,8.604987,-3.0496476,m6A
62,-2.9309285,2.405583,m6A
63,0.22033864,2.7557828,m6A
64,6.5478516,2.2331982,m6A
65,-1.1488217,4.19416,m6A
66,-4.722709,3.2533314,m6A
67,5.4591966,4.775208,m6A
68,6.024514,2.8739088,m6A
69,4.254436,4.7163186,m6A
70,9.614747,0.8282414,m6A
71,-2.67892,2.455495,m6A
72,-3.3692007,2.090879,m6A
73,7.9479065,-2.729584,m6A
74,5.4549394,4.6412287,m6A
75,9.681556,0.7619247,m6A
76,5.0839176,6.7974496,m6A
77,-3.1195605,2.3083143,m6A
78,-4.185802,3.0982497,m6A
