,x,y,label
0,9.379273,2.572722,m6A
1,7.2999043,7.7510285,m6A
2,6.7357273,7.470754,m6A
3,10.892247,2.5589767,m6A
4,8.767779,9.753931,m6A
5,9.084222,3.3151312,m6A
6,10.269496,2.069927,m6A
7,10.305158,2.2083,m6A
8,6.802131,6.780599,m6A
9,7.14412,6.6428294,m6A
10,10.1887665,3.4713917,m6A
11,4.05674,7.8821664,m6A
12,3.7540257,8.194371,m6A
13,7.655535,8.579854,m6A
14,9.983204,10.163392,m6A
15,6.8514466,7.572965,m6A
16,8.786456,3.476832,m6A
17,8.803883,2.3215106,m6A
18,8.851145,9.029948,m6A
19,8.657798,2.4149482,m6A
20,6.209973,7.6095304,m6A
21,8.900106,4.154669,m6A
22,6.391801,8.232102,m6A
23,3.681829,8.170389,m6A
24,9.937807,8.843062,m6A
25,8.557548,9.788921,m6A
26,7.0200715,8.544835,m6A
27,7.9567337,8.692982,m6A
28,6.7521186,7.9572654,m6A
29,10.025024,10.352059,m6A
30,6.7211084,8.306448,m6A
31,7.090458,7.3234696,m6A
32,9.966794,1.755641,m6A
33,10.264631,2.2270672,m6A
34,7.191745,7.610239,m6A
35,8.239714,2.917444,m6A
36,9.409799,2.7351751,m6A
37,7.117405,8.379658,m6A
38,6.598048,7.8350143,m6A
39,9.762769,9.010122,m6A
40,7.495542,8.65387,m6A
41,8.685811,4.3961535,m6A
42,10.062935,2.5981145,m6A
43,10.805305,2.0837367,m6A
44,8.002316,6.801668,m6A
45,-1.8110234,-5.5409274,m6A
46,8.0339985,5.850696,m6A
47,7.2700844,8.7069435,m6A
48,8.6728945,2.4565082,m6A
49,10.05464,3.551152,m6A
50,9.517513,2.6601648,m6A
51,10.234985,2.0478914,m6A
52,7.4396253,7.7518406,m6A
53,-1.380814,-3.654044,m6A
54,10.176221,3.249481,m6A
55,8.613584,9.916409,m6A
56,8.744643,4.303777,m6A
57,10.560793,2.856451,m6A
58,2.1284618,8.135428,m6A
59,9.070415,8.762422,m6A
60,7.9262633,6.802141,m6A
61,7.069798,6.114621,m6A
62,10.848597,2.28588,m6A
63,8.191453,3.1056488,m6A
64,8.309582,8.663541,m6A
65,8.398032,2.9164195,m6A
66,9.423622,2.448047,m6A
67,8.049797,8.91532,m6A
68,6.419953,8.049413,m6A
69,10.960133,8.448428,m6A
70,7.749204,8.446233,m6A
71,11.009007,2.4526267,m6A
72,10.754286,2.0349772,m6A
73,7.657813,6.8916974,m6A
74,7.236611,8.649625,m6A
75,7.1314545,8.594183,m6A
76,8.665275,9.850835,m6A
77,10.62598,1.5256182,m6A
78,8.626205,2.5024693,m6A
79,6.72255,7.5047755,m6A
80,8.741667,3.623718,m6A
81,8.826726,9.086327,m6A
82,8.55473,9.957868,m6A
83,7.8832297,7.1627574,m6A
84,8.78133,2.6798184,m6A
85,8.707267,9.854502,m6A
86,6.872043,8.536944,m6A
87,3.6119065,8.178992,m6A
88,7.2230377,6.6062236,m6A
89,8.184052,6.5461874,m6A
90,9.533699,2.8945012,m6A
91,6.1097665,8.423728,m6A
92,8.27795,2.932471,m6A
93,10.54115,1.5774993,m6A
94,10.874417,8.491716,m6A
95,3.2429276,8.130604,m6A
96,8.352918,7.6691284,m6A
97,7.335616,6.6670785,m6A
98,8.89805,3.4838178,m6A
99,8.972018,4.0066533,m6A
100,9.907787,3.470899,m6A
