,x,y,label
162,11.20939,6.835114,m6A
163,-0.9614835,4.0862937,m6A
164,10.2669525,8.280346,m6A
165,8.425096,5.4406285,m6A
166,10.901596,8.27004,m6A
167,10.642627,4.5480065,m6A
168,6.0857368,3.3104796,m6A
169,-0.032332726,3.0388856,m6A
170,10.294797,4.533391,m6A
171,9.884237,2.302414,m6A
172,5.075833,3.3141835,m6A
173,-0.17133848,3.0890853,m6A
174,11.055891,5.164659,m6A
175,10.91057,6.084373,m6A
176,10.379099,8.489155,m6A
177,10.660459,4.625116,m6A
178,0.26156998,3.3787496,m6A
179,11.058899,8.4863,m6A
180,7.26563,6.0474825,m6A
181,9.079632,3.9501972,m6A
182,6.739005,5.2294726,m6A
183,9.590943,4.9888496,m6A
184,9.859575,2.2549012,m6A
185,8.15324,5.234317,m6A
186,-0.6651356,3.6058068,m6A
187,6.4833846,4.627669,m6A
188,9.823025,2.3204646,m6A
189,-0.12201805,3.0582905,m6A
190,4.342373,3.1741652,m6A
191,-2.3614109,6.017836,Unmodified
192,5.380788,9.631292,Unmodified
193,9.272584,5.29222,Unmodified
194,-2.3393614,7.08869,Unmodified
195,9.318122,6.995542,Unmodified
196,-1.5786759,8.757418,Unmodified
197,3.6417058,1.6638551,Unmodified
198,3.9451783,1.0345669,Unmodified
199,7.579505,2.5232067,Unmodified
200,7.5986433,2.42948,Unmodified
201,6.0513096,1.8291917,Unmodified
202,1.4999071,7.798936,Unmodified
203,6.3803434,3.1298442,Unmodified
204,8.765961,6.1032934,Unmodified
205,7.486473,1.855856,Unmodified
206,5.169673,8.808067,Unmodified
207,-0.99754006,8.117703,Unmodified
208,-1.7163197,4.956758,Unmodified
209,8.754404,4.373954,Unmodified
210,-1.9595475,7.820351,Unmodified
211,9.239213,5.1949167,Unmodified
212,4.308344,0.74832803,Unmodified
213,10.738002,7.625268,Unmodified
214,1.5529133,7.897122,Unmodified
215,7.4730153,1.887582,Unmodified
216,7.6607347,2.7014194,Unmodified
217,9.448475,7.4407682,Unmodified
218,9.5826,7.3890166,Unmodified
219,5.4133053,9.697484,Unmodified
220,10.384975,4.2780175,Unmodified
221,9.974656,8.670704,Unmodified
222,4.878941,9.377123,Unmodified
223,-3.526448,5.552256,Unmodified
224,5.4915786,1.1927334,Unmodified
225,7.6144466,2.723358,Unmodified
226,-1.0698072,7.914382,Unmodified
227,-1.3961877,8.069574,Unmodified
228,9.643448,7.6186023,Unmodified
229,5.102759,8.771829,Unmodified
230,10.483156,4.368369,Unmodified
231,9.5634575,6.876285,Unmodified
232,6.692775,1.5091387,Unmodified
233,3.843996,2.2746975,Unmodified
234,-2.3277688,7.142851,Unmodified
235,0.50424856,8.022939,Unmodified
236,-2.4250991,6.997037,Unmodified
237,-1.1299677,8.168526,Unmodified
238,9.164145,7.060014,Unmodified
239,-1.9927816,7.7796745,Unmodified
240,5.6215825,1.3102309,Unmodified
241,-1.4232435,8.124141,Unmodified
242,3.366042,2.0418262,Unmodified
243,5.449657,9.321083,Unmodified
244,-1.5296307,8.679977,Unmodified
245,-1.5096616,8.524192,Unmodified
246,5.2045946,8.808651,Unmodified
247,3.937238,1.0670319,Unmodified
248,-2.161914,7.42711,Unmodified
249,5.770797,8.387372,Unmodified
250,9.674149,2.138158,Unmodified
251,4.8289,8.061609,Unmodified
252,3.9514403,1.5364186,Unmodified
253,-1.7045751,4.970484,Unmodified
254,-3.465949,5.609381,Unmodified
255,10.843598,9.00423,Unmodified
256,4.061911,0.86634606,Unmodified
257,-1.4516213,7.659638,Unmodified
258,9.663646,6.5815635,Unmodified
259,10.873398,7.713776,Unmodified
260,4.8899093,7.9260416,Unmodified
261,9.103203,6.76696,Unmodified
262,-3.1893594,5.4865866,Unmodified
263,-3.6670794,5.458418,Unmodified
264,1.8793373,8.059799,Unmodified
265,9.974626,6.8670835,Unmodified
266,9.365409,7.267169,Unmodified
267,5.0666947,8.136357,Unmodified
268,-3.433431,5.5710783,Unmodified
269,-2.3307753,6.06045,Unmodified
270,5.2623687,8.781365,Unmodified
271,-1.0782189,8.05391,Unmodified
272,8.745767,4.3405333,Unmodified
273,5.429198,9.6787405,Unmodified
274,4.9153204,9.506631,Unmodified
275,-3.7884812,5.553776,Unmodified
276,7.390429,2.1588883,Unmodified
277,9.983831,8.710383,Unmodified
278,1.2733868,8.13214,Unmodified
